num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,
10,1.2541874,Target,,,,,,,,,,10,1.5589925,Target,,,,10,1.2541874,Target,,,
5,1.7667678,Target,,,,,,,,,,10,1.9940452,Target,,,,5,1.7667678,Target,,,
5,1.314501,Target,,,,,,,,,,10,1.7449755,Target,,,,5,1.314501,Target,,,
10,1.5923595,Target,,,,,,,,,,10,2.0939048,Target,,,,10,1.5923595,Target,,,
10,2.4268621,Target,,,,,,,,,,10,1.5606777,Target,,,,10,2.4268621,Target,,,
10,1.3730833,Target,,,,,,,,,,10,1.766721,Target,,,,10,1.3730833,Target,,,
5,1.35065,Target,,,,,,,,,,10,1.5100445,Target,,,,5,1.35065,Target,,,
5,1.2302497,Target,,,,,,,,,,10,1.9921005,Target,,,,5,1.2302497,Target,,,
5,1.0485903,Target,,,,,,,,,,10,2.9875972,Target,,,,5,1.0485903,Target,,,
10,1.7733878,Target,,,,,,,,,,10,0.9268223,Target,,,,10,1.7733878,Target,,,
5,2.6493184,Target,,,,,,,,,,10,1.406314,Target,,,,5,2.6493184,Target,,,
5,1.5317622,Target,,,,,,,,,,10,2.54275,Target,,,,5,1.5317622,Target,,,
10,1.8752873,Target,,,,,,,,,,10,2.1270073,Target,,,,10,1.8752873,Target,,,
5,2.3343894,Target,,,,,,,,,,,,,,,,5,2.3343894,Target,,,
10,1.3536788,Target,,,,,,,,,,,,,,,,10,1.3536788,Target,,,
5,1.5170404,Target,,,,,,,,,,,,,,,,5,1.5170404,Target,,,
10,1.452005,Target,,,,,,,,,,,,,,,,10,1.452005,Target,,,
10,2.589284,Target,,,,,,,,,,,,,,,,10,2.589284,Target,,,
10,1.7096786,Target,,,,,,,,,,,,,,,,10,1.7096786,Target,,,
10,2.2874949,Target,,,,,,,,,,,,,,,,10,2.2874949,Target,,,
10,1.4316804,Target,,,,,,,,,,,,,,,,10,1.4316804,Target,,,
5,1.6006406,Target,,,,,,,,,,,,,,,,5,1.6006406,Target,,,
10,1.8245824,Target,,,,,,,,,,,,,,,,10,1.8245824,Target,,,
10,1.0940343,Target,,,,,,,,,,,,,,,,10,1.0940343,Target,,,
10,2.7232778,Target,,,,,,,,,,,,,,,,10,2.7232778,Target,,,
10,2.2103609,Target,,,,,,,,,,,,,,,,10,2.2103609,Target,,,
10,1.5613785,Target,,,,,,,,,,,,,,,,10,1.5613785,Target,,,
5,2.0328676,Target,,,,,,,,,,,,,,,,5,2.0328676,Target,,,
5,2.0475138,Target,,,,,,,,,,,,,,,,5,2.0475138,Target,,,
5,1.1640357,Target,,,,,,,,,,,,,,,,5,1.1640357,Target,,,
5,1.4973071,Target,,,,,,,,,,,,,,,,5,1.4973071,Target,,,
5,1.3810592,Target,,,,,,,,,,,,,,,,5,1.3810592,Target,,,
10,1.8398398,Target,,,,,,,,,,,,,,,,10,1.8398398,Target,,,
10,1.9899457,Target,,,,,,,,,,,,,,,,10,1.9899457,Target,,,
10,1.4552148,Target,,,,,,,,,,,,,,,,10,1.4552148,Target,,,
5,1.3317095,Target,,,,,,,,,,,,,,,,5,1.3317095,Target,,,
5,1.7923486,Target,,,,,,,,,,,,,,,,5,1.7923486,Target,,,
10,1.3899405,Target,,,,,,,,,,,,,,,,10,1.3899405,Target,,,
5,1.7981951,Target,,,,,,,,,,,,,,,,5,1.7981951,Target,,,
10,1.4078925,Target,,,,,,,,,,,,,,,,10,1.4078925,Target,,,
5,2.1169622,Target,,,,,,,,,,,,,,,,5,2.1169622,Target,,,
10,2.0818635,Target,,,,,,,,,,,,,,,,10,2.0818635,Target,,,
10,3.6077427,Target,,,,,,,,,,,,,,,,10,3.6077427,Target,,,
10,1.7068992,,,,,,,,,,,,,,,,,10,1.8595201,Target,,,
10,1.8595201,Target,,,,,,,,,,,,,,,,5,1.2990833,Target,,,
5,1.2990833,Target,,,,,,,,,,,,,,,,10,1.7758595,Target,,,
10,1.7758595,Target,,,,,,,,,,,,,,,,10,2.110323,Target,,,
10,2.110323,Target,,,,,,,,,,,,,,,,10,1.410121,Target,,,
10,1.410121,Target,,,,,,,,,,,,,,,,10,1.6386422,Target,,,
10,1.6386422,Target,,,,,,,,,,,,,,,,5,1.3345512,Target,,,
5,1.3345512,Target,,,,,,,,,,,,,,,,5,1.9130628,Target,,,
5,1.9130628,Target,,,,,,,,,,,,,,,,10,1.3586238,Target,,,
10,1.3586238,Target,,,,,,,,,,,,,,,,10,1.4734968,Target,,,
10,1.4734968,Target,,,,,,,,,,,,,,,,10,2.0349694,Target,,,
10,2.0349694,Target,,,,,,,,,,,,,,,,5,1.5181511,Target,,,
5,1.5181511,Target,,,,,,,,,,,,,,,,10,2.596407,Target,,,
10,2.596407,Target,,,,,,,,,,,,,,,,5,1.8135608,Target,,,
5,1.8135608,Target,,,,,,,,,,,,,,,,10,1.6102884,Target,,,
10,1.6102884,Target,,,,,,,,,,,,,,,,10,1.5395334,Target,,,
10,1.5395334,Target,,,,,,,,,,,,,,,,5,1.4497615,Target,,,
