num_distr,mouse.time,mouse.clicked_name,,,,,num_distr,mouse.time,mouse.clicked_name,,,num_distr,mouse.time,mouse.clicked_name,,,,,,,,
10,2.1093301,target,,,,,5,1.3867023,Target,,,10,2.163437,Target,,,,,,,,
5,1.2788042,target,,,,,5,1.2170239,Target,,,10,1.1613546,Target,,,,,,,,
10,1.1407497,target,,,,,5,1.2573274,Target,,,10,1.8216515,Target,,,,,,,,
10,1.2662249,target,,,,,5,1.2685198,Target,,,10,2.4418694,Target,,,,,,,,
5,1.5203264,target,,,,,5,3.1297877,Target,,,10,2.3803006,Target,,,,,,,,
5,1.6849512,target,,,,,5,2.005982,Target,,,10,1.2541874,Target,,,,,,,,
10,2.16548,target,,,,,5,1.7325491,Target,,,10,1.5923595,Target,,,,,,,,
10,1.8356805,target,,,,,5,1.7156147,Target,,,10,2.4268621,Target,,,,,,,,
5,1.677226,target,,,,,5,1.0471239,Target,,,10,1.3730833,Target,,,,,,,,
5,1.2152943,target,,,,,5,1.7667678,Target,,,10,1.7733878,Target,,,,,,,,
5,1.535332,target,,,,,5,1.314501,Target,,,10,1.8752873,Target,,,,,,,,
10,1.8667853,target,,,,,5,1.35065,Target,,,10,1.3536788,Target,,,,,,,,
10,2.1141757,target,,,,,5,1.2302497,Target,,,10,1.452005,Target,,,,,,,,
5,1.6495427,target,,,,,5,1.0485903,Target,,,10,2.589284,Target,,,,,,,,
10,2.0164517,target,,,,,5,2.6493184,Target,,,10,1.7096786,Target,,,,,,,,
5,1.5993882,target,,,,,5,1.5317622,Target,,,10,2.2874949,Target,,,,,,,,
10,1.2347386,target,,,,,5,2.3343894,Target,,,10,1.4316804,Target,,,,,,,,
10,1.4262606,target,,,,,5,1.5170404,Target,,,10,1.8245824,Target,,,,,,,,
10,1.480486,target,,,,,5,1.6006406,Target,,,10,1.0940343,Target,,,,,,,,
5,2.765521,target,,,,,5,2.0328676,Target,,,10,2.7232778,Target,,,,,,,,
5,1.603573,target,,,,,5,2.0475138,Target,,,10,2.2103609,Target,,,,,,,,
5,2.2316388,target,,,,,5,1.1640357,Target,,,10,1.5613785,Target,,,,,,,,
5,1.2421101,target,,,,,5,1.4973071,Target,,,10,1.8398398,Target,,,,,,,,
5,1.7437255,target,,,,,5,1.3810592,Target,,,10,1.9899457,Target,,,,,,,,
10,2.7141013,target,,,,,5,1.3317095,Target,,,10,1.4552148,Target,,,,,,,,
10,2.0774908,target,,,,,5,1.7923486,Target,,,10,1.3899405,Target,,,,,,,,
5,1.5017644,target,,,,,5,1.7981951,Target,,,10,1.4078925,Target,,,,,,,,
10,1.6441185,target,,,,,5,2.1169622,Target,,,10,2.0818635,Target,,,,,,,,
5,1.495141,target,,,,,5,1.2990833,Target,,,10,3.6077427,Target,,,,,,,,
5,1.1052088,target,,,,,5,1.3345512,Target,,,10,1.8595201,Target,,,,,,,,
10,1.1734198,target,,,,,5,1.9130628,Target,,,10,1.7758595,Target,,,,,,,,
10,1.831387,target,,,,,5,1.5181511,Target,,,10,2.110323,Target,,,,,,,,
5,1.295443,target,,,,,5,1.8135608,Target,,,10,1.410121,Target,,,,,,,,
5,1.4189747,target,,,,,5,1.4497615,Target,,,10,1.6386422,Target,,,,,,,,
10,1.296323,target,,,,,5,1.9339823,Target,,,10,1.3586238,Target,,,,,,,,
10,2.3625858,target,,,,,5,1.350921,Target,,,10,1.4734968,Target,,,,,,,,
5,1.4690788,target,,,,,5,1.9799628,Target,,,10,2.0349694,Target,,,,,,,,
10,1.3661297,target,,,,,5,1.8696012,Target,,,10,2.596407,Target,,,,,,,,
5,1.5025657,target,,,,,5,1.4354508,Target,,,10,1.6102884,Target,,,,,,,,
5,1.5049508,target,,,,,5,1.700086,Target,,,10,1.5395334,Target,,,,,,,,
10,1.7345287,target,,,,,5,1.6658324,Target,,,10,2.1420647,Target,,,,,,,,
10,1.5280624,target,,,,,5,1.3850366,Target,,,10,1.4944522,Target,,,,,,,,
5,1.4612078,target,,,,,5,2.2993467,Target,,,10,2.0210626,Target,,,,,,,,
5,1.3055197,target,,,,,5,1.4685112,Target,,,10,1.5220204,Target,,,,,,,,
5,1.4511376,target,,,,,5,1.8453441,Target,,,10,1.9618925,Target,,,,,,,,
5,1.1366694,target,,,,,5,1.5054162,Target,,,10,1.9902569,Target,,,,,,,,
5,1.2994966,target,,,,,5,1.1503623,Target,,,10,1.7849471,Target,,,,,,,,
5,1.0496775,target,,,,,5,1.5825797,Target,,,10,5.4925168,Target,,,,,,,,
10,1.1792499,target,,,,,5,1.5283437,Target,,,10,2.2437732,Target,,,,,,,,
10,1.232369,target,,,,,5,1.1372962,Target,,,10,3.6263303,Target,,,,,,,,
5,1.9619313,target,,,,,5,2.2109688,Target,,,10,1.5589925,Target,,,,,,,,
10,1.3143001,target,,,,,5,1.3671153,Target,,,10,1.9940452,Target,,,,,,,,
10,2.9984543,target,,,,,5,2.0467946,Target,,,10,1.7449755,Target,,,,,,,,
5,2.561689,target,,,,,5,1.8066794,Target,,,10,2.0939048,Target,,,,,,,,
10,2.0617352,target,,,,,5,2.1644698,Target,,,10,1.5606777,Target,,,,,,,,
10,1.4746819,target,,,,,5,1.4133482,Target,,,10,1.766721,Target,,,,,,,,
5,1.7037866,target,,,,,5,1.7136473,Target,,,10,1.5100445,Target,,,,,,,,
10,1.2886679,target,,,,,5,1.6300701,Target,,,10,1.9921005,Target,,,,,,,,
10,1.6772656,target,,,,,5,1.5659875,Target,,,10,2.9875972,Target,,,,,,,,
5,1.3838757,target,,,,,5,1.5103203,Target,,,10,0.9268223,Target,,,,,,,,
10,2.4235146,target,,,,,5,1.7930591,Target,,,10,1.406314,Target,,,,,,,,
5,1.104843,target,,,,,5,1.4980627,Target,,,10,2.54275,Target,,,,,,,,
5,1.482483,target,,,,,5,2.1665608,Target,,,10,2.1270073,Target,,,,,,,,
5,1.2706497,target,,,,,5,2.8798574,Target,,,10,1.4460495,Target,,,,,,,,
5,1.4982768,target,,,,,5,1.9852111,Target,,,10,1.6709632,Target,,,,,,,,
5,1.4083472,target,,,,,5,1.4398589,Target,,,10,1.4289302,Target,,,,,,,,
10,1.7438664,target,,,,,5,1.5267954,Target,,,10,3.0846375,Target,,,,,,,,
10,2.0641175,target,,,,,5,2.465675,Target,,,10,2.3916056,Target,,,,,,,,
5,1.5341668,target,,,,,5,1.837032,Target,,,10,2.2535125,Target,,,,,,,,
10,1.3770062,target,,,,,5,1.9482847,Target,,,10,2.5041919,Target,,,,,,,,
10,1.2399117,target,,,,,5,2.5317903,Target,,,10,2.718237,Target,,,,,,,,
10,2.1297961,target,,,,,5,1.415054,Target,,,10,3.1380626,Target,,,,,,,,
5,1.0844432,target,,,,,5,2.0657714,Target,,,10,1.6524527,Target,,,,,,,,
10,2.532171,target,,,,,5,2.6654416,Target,,,10,1.5228549,Target,,,,,,,,
5,1.3914223,target,,,,,5,3.1327534,Target,,,10,1.9540364,Target,,,,,,,,
10,3.6065364,target,,,,,5,1.9601115,Target,,,10,2.0906294,Target,,,,,,,,
10,1.4102901,target,,,,,5,1.6132992,Target,,,10,3.473031,Target,,,,,,,,
10,1.6241361,target,,,,,5,1.6381254,Target,,,10,2.0760937,Target,,,,,,,,
10,1.8355503,target,,,,,5,1.5827526,Target,,,10,1.9724163,Target,,,,,,,,
10,1.8224551,target,,,,,5,1.4205737,Target,,,10,1.6510577,Target,,,,,,,,
10,1.1689344,target,,,,,5,1.7211283,Target,,,10,2.0121545,Target,,,,,,,,
5,1.8986784,target,,,,,5,1.6487751,Target,,,10,4.1942254,Target,,,,,,,,
5,1.1533765,target,,,,,5,2.8276151,Target,,,10,3.4051257,Target,,,,,,,,
10,2.0823996,target,,,,,5,1.3511159,Target,,,10,2.1713545,Target,,,,,,,,
5,1.3749878,target,,,,,5,1.4319481,Target,,,10,2.7105891,Target,,,,,,,,
5,1.1510259,target,,,,,5,1.6744153,Target,,,10,1.9221963,Target,,,,,,,,
5,1.7420722,target,,,,,5,2.2065094,Target,,,10,1.706548,Target,,,,,,,,
10,1.6592448,target,,,,,5,1.798123,Target,,,10,1.551792,Target,,,,,,,,
10,1.6953756,target,,,,,5,1.923282,Target,,,10,2.2046509,Target,,,,,,,,
10,4.0167948,target,,,,,5,1.8364608,Target,,,10,1.573573,Target,,,,,,,,
10,1.2055666,target,,,,,5,2.1817953,Target,,,10,2.3244789,Target,,,,,,,,
5,1.5865056,target,,,,,5,1.9782833,Target,,,10,1.3532964,Target,,,,,,,,
10,1.1907401,target,,,,,5,2.2194583,Target,,,10,1.0395967,Target,,,,,,,,
10,2.1439531,target,,,,,5,1.6875384,Target,,,10,1.8763916,Target,,,,,,,,
5,1.3418692,target,,,,,5,2.6332916,Target,,,10,2.4153722,Target,,,,,,,,
10,1.7383114,target,,,,,5,1.3682601,Target,,,10,3.306972,Target,,,,,,,,
